16/01/2025;0000004544;1.00;0,30
28/08/2025;0000004944;5.00;11,50
03/02/2025;0000007245;3.00;0,95
24/08/2025;0000007928;2.00;1,02
21/02/2025;0000015407;3.00;2,76
23/07/2025;0000007500;4.00;6,20
02/04/2025;0000008783;44.31;117,43
20/02/2025;0000004784;11.00;7,68
10/06/2025;0000013561;1.00;0,94
12/02/2025;0000014054;28.00;26,60
05/04/2025;0000012480;2.00;1,96
25/03/2025;0000011213;8.00;3,03
02/09/2025;0000011012;1.00;0,85
23/01/2025;0000004664;7.00;3,45
18/01/2025;0000014258;4.00;3,00
22/03/2025;0000014278;4.00;1,20
08/04/2025;0000015458;1.00;0,25
20/01/2025;0000004916;3.00;2,55
27/06/2025;0000015671;31.00;31,00
29/08/2025;0000005451;2.00;3,00
17/06/2025;0000012054;1.00;1,40
07/01/2025;0000005190;1.00;2,85
19/03/2025;0000015198;1.00;0,85
28/02/2025;0000014480;2.00;2,36
10/03/2025;0000008661;1.00;1,71
02/07/2025;0000004615;2.00;2,10
26/05/2025;0000007164;2.00;1,70
13/03/2025;0000005059;1.00;1,51
27/04/2025;0000006630;1.00;3,35
13/03/2025;0000006258;3.00;0,99
03/02/2025;0000014368;2.00;2,70
28/04/2025;0000014088;2.00;0,41
23/05/2025;0000013566;3.16;3,00
02/08/2025;0000011710;15.00;6,83
06/04/2025;0000014215;1.00;1,75
21/05/2025;0000005025;1.00;0,85
18/04/2025;0000004941;2.00;1,46
01/03/2025;0000011613;1.00;0,15
06/01/2025;0000013530;6.00;6,30
02/02/2025;0000006468;4.00;7,16
01/02/2025;0000012168;13.00;17,55
22/06/2025;0000007718;1.00;1,45
12/03/2025;0000006081;2.00;1,42
30/03/2025;0000014215;3.00;5,25
09/03/2025;0000005287;2.00;1,98
11/02/2025;0000004788;2.00;2,10
25/08/2025;0000005074;5.00;7,00
19/04/2025;0000012473;1.00;2,15
28/05/2025;0000005284;2.00;1,98
29/08/2025;0000005003;17.00;16,49
07/06/2025;0000005142;2.00;2,02
30/03/2025;0000005078;11.00;6,60
13/05/2025;0000004943;3.00;6,60
25/02/2025;0000004668;2.00;1,00
16/03/2025;0000009396;0.75;1,98
18/06/2025;0000013446;1.00;0,50
26/01/2025;0000013618;2.00;3,98
23/06/2025;0000005059;6.00;9,85
05/03/2025;0000014816;5.00;3,50
23/07/2025;0000015574;3.00;2,55
27/02/2025;0000005163;4.00;6,95
03/02/2025;0000015308;6.00;3,00
13/05/2025;0000011769;5.00;7,75
13/07/2025;0000015165;9.00;19,35
09/02/2025;0000006468;8.00;14,32
14/06/2025;0000013620;1.00;1,15
06/02/2025;0000013636;2.00;4,40
15/08/2025;0000015712;1.00;0,25
18/01/2025;0000005649;3.00;8,40
12/08/2025;0000004607;1.00;0,75
04/04/2025;0000015578;3.00;0,69
04/08/2025;0000012985;6.00;5,40
02/03/2025;0000006480;5.00;5,00
22/01/2025;0000014016;2.00;0,90
03/07/2025;0000010407;2.00;1,40
29/01/2025;0000012790;3.00;5,55
06/05/2025;0000012629;3.00;5,64
25/04/2025;0000012922;2.00;1,52
28/08/2025;0000013696;1.00;4,15
25/03/2025;0000008928;1.00;1,20
31/03/2025;0000004993;1.00;1,20
20/05/2025;0000005114;1.00;3,20
11/06/2025;0000004795;1.00;1,66
01/09/2025;0000012912;2.00;2,90
03/06/2025;0000004913;23.00;45,71
01/07/2025;0000015625;14.00;9,10
20/01/2025;0000005498;1.00;1,85
09/05/2025;0000004916;7.00;5,95
04/02/2025;0000005288;6.00;3,90
16/05/2025;0000004797;1.00;0,60
16/06/2025;0000012417;1.00;1,30
08/04/2025;0000015244;1.00;2,15
12/05/2025;0000004664;5.00;2,25
02/09/2025;0000007273;1.00;1,15
24/02/2025;0000014173;1.00;1,00
24/02/2025;0000011066;1.00;1,92
12/05/2025;0000013718;5.00;4,25
18/01/2025;0000011987;5.00;4,10
15/03/2025;0000015596;1.00;1,57
28/03/2025;0000006041;1.25;1,00
15/02/2025;0000006526;1.00;1,25
31/07/2025;0000015717;1.00;1,50
25/01/2025;0000004744;3.00;48,00
16/04/2025;0000012375;2.00;1,56
10/02/2025;0000012079;5.00;10,00
11/04/2025;0000005158;1.00;0,97
28/02/2025;0000015032;1.00;1,10
30/01/2025;0000006437;9.00;2,25
25/08/2025;0000012910;2.00;2,30
07/09/2025;0000015679;19.00;19,00
02/02/2025;0000005043;48.00;47,46
29/06/2025;0000015165;11.00;23,65
29/06/2025;0000008881;1.00;2,40
18/05/2025;0000011635;5.00;3,50
15/01/2025;0000012496;2.00;1,98
06/08/2025;0000014181;4.00;3,96
07/07/2025;0000005395;1.00;0,85
11/01/2025;0000012953;4.00;5,40
19/01/2025;0000005848;3.00;1,38
08/03/2025;0000006766;3.00;2,55
09/06/2025;0000012546;8.00;1,15
29/05/2025;0000005191;1.00;1,90
07/05/2025;0000013149;1.00;0,99
22/03/2025;0000014425;17.00;6,29
09/07/2025;0000006745;1.00;5,90
24/03/2025;0000012918;1.00;0,99
31/01/2025;0000005281;1.00;0,85
02/07/2025;0000009234;1.00;3,73
01/08/2025;0000005633;1.00;0,70
02/07/2025;0000015515;1.00;4,63
02/07/2025;0000011753;1.00;1,10
12/06/2025;0000015283;2.00;3,00
19/04/2025;0000006927;3.00;3,00
04/05/2025;0000004997;18.00;10,65
08/02/2025;0000015476;3.00;1,65
30/01/2025;0000012286;1.00;0,88
19/04/2025;0000005619;17.00;22,95
18/04/2025;0000009419;19.00;5,70
02/03/2025;0000014319;15.00;13,08
05/05/2025;0000005263;14.00;15,40
21/08/2025;0000004907;9.00;9,45
15/05/2025;0000011206;2.00;4,80
13/01/2025;0000015121;0.25;0,64
07/08/2025;0000012519;1.00;0,45
07/04/2025;0000005677;2.00;1,98
04/04/2025;0000011399;138.00;60,00
28/05/2025;0000014404;1.00;0,85
24/08/2025;0000011145;1.00;0,95
09/05/2025;0000015633;3.00;8,40
07/09/2025;0000012917;3.00;5,73
04/05/2025;0000012981;3.00;0,63
19/06/2025;0000004995;1.00;2,13
16/05/2025;0000015164;1.00;0,96
08/02/2025;0000014957;2.00;1,60
28/04/2025;0000006737;4.00;3,80
19/05/2025;0000012395;2.00;2,27
06/06/2025;0000013614;2.00;4,70
30/07/2025;0000007092;4.00;7,20
25/01/2025;0000005683;5.00;9,75
30/05/2025;0000004849;2.00;0,66
17/04/2025;0000005295;1.00;1,40
07/02/2025;0000012985;7.00;6,30
13/02/2025;0000007550;4.00;3,00
22/04/2025;0000015640;10.00;9,50
20/05/2025;0000005406;2.00;0,40
07/09/2025;0000007881;18.00;17,46
05/05/2025;0000010161;5.00;9,75
03/06/2025;0000007741;2.00;1,80
29/07/2025;0000014957;1.00;0,80
07/05/2025;0000013541;2.00;2,40
15/06/2025;0000015661;1.00;1,25
03/02/2025;0000013467;9.00;8,91
16/01/2025;0000014309;7.00;2,80
08/06/2025;0000015081;1.00;0,72
31/05/2025;0000015634;1.00;0,80
18/07/2025;0000004898;1.00;1,55
22/01/2025;0000006281;10.00;7,44
19/01/2025;0000006710;4.00;2,80
05/07/2025;0000014016;7.00;2,95
05/04/2025;0000006927;4.00;4,00
26/03/2025;0000014466;10.00;8,11
18/06/2025;0000013737;2.00;2,80
14/02/2025;0000013761;18.00;14,13
28/02/2025;0000006194;1.00;2,80
04/01/2025;0000005225;4.00;3,00
29/07/2025;0000013047;1.00;1,00
18/08/2025;0000005696;2.00;2,80
30/01/2025;0000015430;1.00;1,25
14/01/2025;0000013660;1.00;0,80
11/03/2025;0000005247;17.31;9,69
25/03/2025;0000013950;3.00;1,95
25/03/2025;0000013758;2.50;4,25
05/09/2025;0000015759;1.00;1,40
04/05/2025;0000005077;4.00;1,88
02/05/2025;0000006033;9.00;0,45
04/02/2025;0000005672;23.00;5,21
17/03/2025;0000013696;2.42;10,08
04/01/2025;0000008783;37.50;99,45
09/03/2025;0000004708;4.00;2,00
18/07/2025;0000013478;6.00;6,90
21/05/2025;0000004996;2.00;4,26
08/08/2025;0000006415;1.00;0,75
28/01/2025;0000013953;0.50;0,73
03/03/2025;0000014916;1.00;0,77
03/05/2025;0000004895;14.00;4,38
01/05/2025;0000013550;3.00;0,90
14/07/2025;0000005057;33.00;32,67
19/07/2025;0000008339;29.26;14,02
12/02/2025;0000005240;8.00;5,36
23/01/2025;0000007267;1.00;2,21
03/07/2025;0000004995;15.00;31,95
07/09/2025;0000015684;7.00;6,30
05/07/2025;0000012401;1.00;1,52
22/06/2025;0000005406;1.00;0,20
02/04/2025;0000008739;1.00;0,98
06/02/2025;0000005225;3.00;2,25
31/05/2025;0000005162;1.00;1,10
07/09/2025;0000004833;3.00;1,20
04/09/2025;0000005415;1.00;0,90
16/05/2025;0000015607;1.00;2,52
22/07/2025;0000013312;4.00;3,40
30/03/2025;0000005608;1.00;1,00
21/05/2025;0000006849;7.05;14,00
27/02/2025;0000008419;2.00;0,80
16/05/2025;0000012101;36.00;4,92
