0000007338;002837;SH H&S 3-1 MEN 180ML;0.00;12.00
0000004866;000533;FOSFORO ELEPHANT X10;0.00;100.00
0000004822;000542;GALLETAS DE AMOR CHOCOLOLTE 175G;0.00;36.00
0000004797;000412;TOSTITOS ORIGINALES 45G;0.00;12.00
0000004616;000458;MANZANILLA AROMATICAS SALUDABLES DISPLAY;9.00;24.00
0000006232;001724;ALIÑO CASERO MI SUPER POMO 250GR;0.00;48.00
0000005470;001027;GALL MUECAS CHOC. 100GR;0.00;64.00
0000006403;001907;JUG/POLVO GUANABANAYA 15GR;0.00;288.00
0000006537;002041;YOG. KIOSKO TROZOS/FRUTILLA 150GR;0.00;12.00
0000006479;001983;DORITOS DINAMITA LIMON 42GR;0.00;96.00
0000007300;002799;ALCOHOL ALCOGF PLUS 500ML;0.00;12.00
0000006990;002493;DET POLVO FAB ACTIBLU 1.1KG;0.00;10.00
0000006215;001707;PACA SURTIDA BIG COLA 911ML;0.00;1.00
0000005718;001210;ESENCIA DE RON PASAS 100ML;11.00;12.00
0000005249;000720;ARROZ SUPER VIEJO;0.00;100.00
0000005487;001044;DEJA POLVO TQ SUAVIZ ALOE VERA BIC 5KG;0.00;3.00
0000005489;001046;REXONA WOMEN DEO TUB CLINIC CLAS 35G;0.00;12.00
0000007589;003095;REY CLORO 150CM;0.00;100.00
0000007653;003159;CARAM. TAFI/ZOOM YOGURT 200GR;0.00;35.00
0000007672;003178;MILANESA POLLO L. DIARIA PLUMROSE 160GR;0.00;1.00
0000007717;003223;VINO CASTELL  REAL COCINA BLANCO 750CC;0.00;12.00
0000007764;003270;DOVE DEO ROLLON EXTRA FRESH 50ML;0.00;12.00
0000008103;003610;PORTA LUNCH CON TAPA;0.00;1.00
0000012511;008173;VASOS MI VASO 5ONZ X50"S;0.00;120.00
0000012519;008181;ACEITE CRIOLLO DOYPACK 175ML;0.00;24.00
0000012485;008147;DET LIQ. PERLA BEBE 700ML;0.00;12.00
0000013145;008818;BIDONES AQQUA VITA;0.00;1.00
0000013167;008841;JUEGO DE CARRO DINOSAURIO / EXCAVADORA;0.00;1.00
0000012527;008189;CHORIZO PAISA AHUMADO A LA LENA X 2.27 KG VIENESA;0.00;5.00
