0000005360;Cja.                                              ;20.000
0000006534;Neg.                                              ;3.000
0000006404;Und.                                              ;1.000
0000005866;Und.                                              ;1.000
0000005867;Und.                                              ;1.000
0000010065;Und                                               ;1.000
0000006143;Und.                                              ;1.000
0000007144;Und.                                              ;1.000
0000007288;Tir.                                              ;10.000
0000005876;Und.                                              ;1.000
0000005876;Neg.                                              ;3.000
0000005877;Und.                                              ;1.000
0000005877;Neg.                                              ;3.000
0000005878;Und.                                              ;1.000
0000005878;Neg.                                              ;3.000
0000005879;Und.                                              ;1.000
0000005879;Neg.                                              ;3.000
0000005880;Und.                                              ;1.000
0000005880;Neg.                                              ;3.000
0000005881;Und.                                              ;1.000
0000005881;Neg.                                              ;5.000
0000005882;Und.                                              ;1.000
0000006937;Bul.                                              ;12.000
0000006832;Und.                                              ;1.000
0000005893;Und.                                              ;1.000
0000005893;Neg.                                              ;3.000
0000005894;Und.                                              ;1.000
0000005894;Neg.                                              ;3.000
0000005895;Und.                                              ;1.000
0000005895;Neg.                                              ;3.000
0000005897;Und.                                              ;1.000
0000005897;Neg.                                              ;3.000
0000007491;Neg.                                              ;3.000
0000007190;Und.                                              ;1.000
0000007143;Dis.                                              ;20.000
0000009936;Und                                               ;1.000
0000007059;Und.                                              ;1.000
0000006748;Und.                                              ;1.000
0000008532;Pac.                                              ;6.000
0000007592;Qq.                                               ;100.000
0000008533;Und.                                              ;1.000
0000005923;Und.                                              ;1.000
0000005923;Pac.                                              ;6.000
0000007855;Caj.                                              ;24.000
0000005531;Und.                                              ;1.000
0000005531;Neg.                                              ;6.000
0000009510;Und                                               ;1.000
0000009510;Bul.                                              ;6.000
0000006910;Und.                                              ;1.000
0000006910;Dis.                                              ;60.000
0000004862;Und                                               ;1.000
0000005671;Und.                                              ;1.000
0000006912;Bul.                                              ;60.000
0000007252;Neg.                                              ;5.000
0000009372;Und                                               ;1.000
0000006915;Und.                                              ;1.000
0000006915;Neg.                                              ;3.000
0000007462;Und.                                              ;1.000
0000007086;Und.                                              ;1.000
0000006021;Und.                                              ;1.000
0000006021;Neg.                                              ;3.000
0000005960;Und.                                              ;1.000
0000005960;Neg.                                              ;3.000
0000005961;Und.                                              ;1.000
0000005961;Neg.                                              ;3.000
0000005962;Und.                                              ;1.000
0000005962;Neg.                                              ;3.000
0000007143;Cja.                                              ;240.000
0000005579;Cja.                                              ;48.000
